/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.615      |
|    explained_variance   | 0.518       |
|    learning_rate        | 1.95e-05    |
|    loss                 | 0.914       |
|    n_updates            | 3720        |
|    policy_gradient_loss | -0.0132     |
|    value_loss           | 1.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.71e+03    |
|    ep_rew_mean          | 2.12e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 374         |
|    time_elapsed         | 15646       |
|    total_timesteps      | 3063808     |
| train/                  |             |
|    approx_kl            | 0.012349673 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.588      |
|    explained_variance   | 0.639       |
|    learning_rate        | 1.94e-05    |
|    loss                 | 0.286       |
|    n_updates            | 3730        |
|    policy_gradient_loss | -0.0142     |
|    value_loss           | 1.2         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.79e+03    |
|    ep_rew_mean          | 2.16e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 375         |
|    time_elapsed         | 15693       |
|    total_timesteps      | 3072000     |
| train/                  |             |
|    approx_kl            | 0.013493012 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.603      |
|    explained_variance   | 0.523       |
|    learning_rate        | 1.94e-05    |
|    loss                 | 0.599       |
|    n_updates            | 3740        |
|    policy_gradient_loss | -0.0125     |
|    value_loss           | 1.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.81e+03    |
|    ep_rew_mean          | 2.19e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 376         |
|    time_elapsed         | 15734       |
|    total_timesteps      | 3080192     |
| train/                  |             |
|    approx_kl            | 0.014168259 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.593      |
|    explained_variance   | 0.45        |
|    learning_rate        | 1.93e-05    |
|    loss                 | 0.841       |
|    n_updates            | 3750        |
|    policy_gradient_loss | -0.0111     |
|    value_loss           | 1.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.83e+03    |
|    ep_rew_mean          | 2.2e+03     |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 377         |
|    time_elapsed         | 15783       |
|    total_timesteps      | 3088384     |
| train/                  |             |
|    approx_kl            | 0.013011835 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.583      |
|    explained_variance   | 0.537       |
|    learning_rate        | 1.92e-05    |
|    loss                 | 0.799       |
|    n_updates            | 3760        |
|    policy_gradient_loss | -0.0124     |
|    value_loss           | 1.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.81e+03    |
|    ep_rew_mean          | 2.19e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 378         |
|    time_elapsed         | 15827       |
|    total_timesteps      | 3096576     |
| train/                  |             |
|    approx_kl            | 0.012345118 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.589      |
|    explained_variance   | 0.506       |
|    learning_rate        | 1.91e-05    |
|    loss                 | 0.344       |
|    n_updates            | 3770        |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 1.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.84e+03    |
|    ep_rew_mean          | 2.21e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 379         |
|    time_elapsed         | 15871       |
|    total_timesteps      | 3104768     |
| train/                  |             |
|    approx_kl            | 0.013276105 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.609      |
|    explained_variance   | 0.44        |
|    learning_rate        | 1.9e-05     |
|    loss                 | 0.357       |
|    n_updates            | 3780        |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 1.62        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.88e+03    |
|    ep_rew_mean          | 2.25e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 380         |
|    time_elapsed         | 15914       |
|    total_timesteps      | 3112960     |
| train/                  |             |
|    approx_kl            | 0.014178911 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.595      |
|    explained_variance   | 0.485       |
|    learning_rate        | 1.9e-05     |
|    loss                 | 0.616       |
|    n_updates            | 3790        |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 1.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.81e+03    |
|    ep_rew_mean          | 2.2e+03     |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 381         |
|    time_elapsed         | 15955       |
|    total_timesteps      | 3121152     |
| train/                  |             |
|    approx_kl            | 0.013405845 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.594      |
|    explained_variance   | 0.449       |
|    learning_rate        | 1.89e-05    |
|    loss                 | 0.421       |
|    n_updates            | 3800        |
|    policy_gradient_loss | -0.00941    |
|    value_loss           | 1.84        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.87e+03    |
|    ep_rew_mean          | 2.24e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 382         |
|    time_elapsed         | 15997       |
|    total_timesteps      | 3129344     |
| train/                  |             |
|    approx_kl            | 0.014533061 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.611      |
|    explained_variance   | 0.473       |
|    learning_rate        | 1.88e-05    |
|    loss                 | 0.409       |
|    n_updates            | 3810        |
|    policy_gradient_loss | -0.0109     |
|    value_loss           | 1.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.9e+03     |
|    ep_rew_mean          | 2.26e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 383         |
|    time_elapsed         | 16039       |
|    total_timesteps      | 3137536     |
| train/                  |             |
|    approx_kl            | 0.012675331 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.592      |
|    explained_variance   | 0.524       |
|    learning_rate        | 1.87e-05    |
|    loss                 | 0.382       |
|    n_updates            | 3820        |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 1.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.05e+03    |
|    ep_rew_mean          | 2.35e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 384         |
|    time_elapsed         | 16081       |
|    total_timesteps      | 3145728     |
| train/                  |             |
|    approx_kl            | 0.012706981 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.607      |
|    explained_variance   | 0.523       |
|    learning_rate        | 1.86e-05    |
|    loss                 | 0.845       |
|    n_updates            | 3830        |
|    policy_gradient_loss | -0.0101     |
|    value_loss           | 1.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.07e+03    |
|    ep_rew_mean          | 2.36e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 385         |
|    time_elapsed         | 16125       |
|    total_timesteps      | 3153920     |
| train/                  |             |
|    approx_kl            | 0.013285916 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.602      |
|    explained_variance   | 0.481       |
|    learning_rate        | 1.85e-05    |
|    loss                 | 0.603       |
|    n_updates            | 3840        |
|    policy_gradient_loss | -0.00873    |
|    value_loss           | 1.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.1e+03     |
|    ep_rew_mean          | 2.39e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 386         |
|    time_elapsed         | 16167       |
|    total_timesteps      | 3162112     |
| train/                  |             |
|    approx_kl            | 0.013566121 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.605      |
|    explained_variance   | 0.516       |
|    learning_rate        | 1.85e-05    |
|    loss                 | 0.882       |
|    n_updates            | 3850        |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 1.43        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.2e+03     |
|    ep_rew_mean          | 2.46e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 387         |
|    time_elapsed         | 16209       |
|    total_timesteps      | 3170304     |
| train/                  |             |
|    approx_kl            | 0.013363751 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.615      |
|    explained_variance   | 0.494       |
|    learning_rate        | 1.84e-05    |
|    loss                 | 0.662       |
|    n_updates            | 3860        |
|    policy_gradient_loss | -0.0113     |
|    value_loss           | 1.43        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.1e+03     |
|    ep_rew_mean          | 2.39e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 388         |
|    time_elapsed         | 16253       |
|    total_timesteps      | 3178496     |
| train/                  |             |
|    approx_kl            | 0.012016225 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.615      |
|    explained_variance   | 0.54        |
|    learning_rate        | 1.83e-05    |
|    loss                 | 0.392       |
|    n_updates            | 3870        |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 1.23        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.07e+03    |
|    ep_rew_mean          | 2.36e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 389         |
|    time_elapsed         | 16299       |
|    total_timesteps      | 3186688     |
| train/                  |             |
|    approx_kl            | 0.011566268 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.63       |
|    explained_variance   | 0.492       |
|    learning_rate        | 1.82e-05    |
|    loss                 | 0.547       |
|    n_updates            | 3880        |
|    policy_gradient_loss | -0.0123     |
|    value_loss           | 1.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.05e+03    |
|    ep_rew_mean          | 2.35e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 390         |
|    time_elapsed         | 16339       |
|    total_timesteps      | 3194880     |
| train/                  |             |
|    approx_kl            | 0.013191938 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.65       |
|    explained_variance   | 0.451       |
|    learning_rate        | 1.81e-05    |
|    loss                 | 0.477       |
|    n_updates            | 3890        |
|    policy_gradient_loss | -0.011      |
|    value_loss           | 1.6         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.07e+03     |
|    ep_rew_mean          | 2.36e+03     |
| time/                   |              |
|    fps                  | 195          |
|    iterations           | 391          |
|    time_elapsed         | 16378        |
|    total_timesteps      | 3203072      |
| train/                  |              |
|    approx_kl            | 0.0132419355 |
|    clip_fraction        | 0.127        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.653       |
|    explained_variance   | 0.507        |
|    learning_rate        | 1.81e-05     |
|    loss                 | 1.1          |
|    n_updates            | 3900         |
|    policy_gradient_loss | -0.00957     |
|    value_loss           | 1.65         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.02e+03   |
|    ep_rew_mean          | 2.33e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 392        |
|    time_elapsed         | 16419      |
|    total_timesteps      | 3211264    |
| train/                  |            |
|    approx_kl            | 0.01187893 |
|    clip_fraction        | 0.117      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.644     |
|    explained_variance   | 0.539      |
|    learning_rate        | 1.8e-05    |
|    loss                 | 0.913      |
|    n_updates            | 3910       |
|    policy_gradient_loss | -0.0123    |
|    value_loss           | 1.47       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.06e+03   |
|    ep_rew_mean          | 2.36e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 393        |
|    time_elapsed         | 16459      |
|    total_timesteps      | 3219456    |
| train/                  |            |
|    approx_kl            | 0.01293918 |
|    clip_fraction        | 0.115      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.638     |
|    explained_variance   | 0.54       |
|    learning_rate        | 1.79e-05   |
|    loss                 | 0.525      |
|    n_updates            | 3920       |
|    policy_gradient_loss | -0.0111    |
|    value_loss           | 1.66       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.1e+03     |
|    ep_rew_mean          | 2.39e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 394         |
|    time_elapsed         | 16499       |
|    total_timesteps      | 3227648     |
| train/                  |             |
|    approx_kl            | 0.013011849 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.626      |
|    explained_variance   | 0.551       |
|    learning_rate        | 1.78e-05    |
|    loss                 | 0.581       |
|    n_updates            | 3930        |
|    policy_gradient_loss | -0.0109     |
|    value_loss           | 1.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.17e+03    |
|    ep_rew_mean          | 2.44e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 395         |
|    time_elapsed         | 16540       |
|    total_timesteps      | 3235840     |
| train/                  |             |
|    approx_kl            | 0.014048152 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.615      |
|    explained_variance   | 0.477       |
|    learning_rate        | 1.77e-05    |
|    loss                 | 0.459       |
|    n_updates            | 3940        |
|    policy_gradient_loss | -0.0116     |
|    value_loss           | 1.78        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.11e+03    |
|    ep_rew_mean          | 2.4e+03     |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 396         |
|    time_elapsed         | 16580       |
|    total_timesteps      | 3244032     |
| train/                  |             |
|    approx_kl            | 0.013303005 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.61       |
|    explained_variance   | 0.488       |
|    learning_rate        | 1.76e-05    |
|    loss                 | 0.46        |
|    n_updates            | 3950        |
|    policy_gradient_loss | -0.012      |
|    value_loss           | 1.68        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.08e+03    |
|    ep_rew_mean          | 2.37e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 397         |
|    time_elapsed         | 16620       |
|    total_timesteps      | 3252224     |
| train/                  |             |
|    approx_kl            | 0.014238027 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.63       |
|    explained_variance   | 0.46        |
|    learning_rate        | 1.76e-05    |
|    loss                 | 0.259       |
|    n_updates            | 3960        |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 1.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.08e+03    |
|    ep_rew_mean          | 2.37e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 398         |
|    time_elapsed         | 16661       |
|    total_timesteps      | 3260416     |
| train/                  |             |
|    approx_kl            | 0.012873208 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.612      |
|    explained_variance   | 0.507       |
|    learning_rate        | 1.75e-05    |
|    loss                 | 0.303       |
|    n_updates            | 3970        |
|    policy_gradient_loss | -0.0115     |
|    value_loss           | 1.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.93e+03    |
|    ep_rew_mean          | 2.27e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 399         |
|    time_elapsed         | 16701       |
|    total_timesteps      | 3268608     |
| train/                  |             |
|    approx_kl            | 0.011475066 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.614      |
|    explained_variance   | 0.551       |
|    learning_rate        | 1.74e-05    |
|    loss                 | 0.558       |
|    n_updates            | 3980        |
|    policy_gradient_loss | -0.0109     |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.05e+03    |
|    ep_rew_mean          | 2.34e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 400         |
|    time_elapsed         | 16742       |
|    total_timesteps      | 3276800     |
| train/                  |             |
|    approx_kl            | 0.011822902 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.623      |
|    explained_variance   | 0.495       |
|    learning_rate        | 1.73e-05    |
|    loss                 | 0.757       |
|    n_updates            | 3990        |
|    policy_gradient_loss | -0.0109     |
|    value_loss           | 1.65        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.05e+03   |
|    ep_rew_mean          | 2.33e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 401        |
|    time_elapsed         | 16783      |
|    total_timesteps      | 3284992    |
| train/                  |            |
|    approx_kl            | 0.01234061 |
|    clip_fraction        | 0.111      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.627     |
|    explained_variance   | 0.563      |
|    learning_rate        | 1.72e-05   |
|    loss                 | 0.538      |
|    n_updates            | 4000       |
|    policy_gradient_loss | -0.0113    |
|    value_loss           | 1.3        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.02e+03    |
|    ep_rew_mean          | 2.31e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 402         |
|    time_elapsed         | 16823       |
|    total_timesteps      | 3293184     |
| train/                  |             |
|    approx_kl            | 0.011467425 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.614      |
|    explained_variance   | 0.543       |
|    learning_rate        | 1.72e-05    |
|    loss                 | 0.834       |
|    n_updates            | 4010        |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 1.65        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.03e+03    |
|    ep_rew_mean          | 2.31e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 403         |
|    time_elapsed         | 16864       |
|    total_timesteps      | 3301376     |
| train/                  |             |
|    approx_kl            | 0.011897642 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.631      |
|    explained_variance   | 0.458       |
|    learning_rate        | 1.71e-05    |
|    loss                 | 1.01        |
|    n_updates            | 4020        |
|    policy_gradient_loss | -0.0114     |
|    value_loss           | 1.47        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4e+03       |
|    ep_rew_mean          | 2.28e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 404         |
|    time_elapsed         | 16905       |
|    total_timesteps      | 3309568     |
| train/                  |             |
|    approx_kl            | 0.012627238 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.607      |
|    explained_variance   | 0.51        |
|    learning_rate        | 1.7e-05     |
|    loss                 | 0.417       |
|    n_updates            | 4030        |
|    policy_gradient_loss | -0.0109     |
|    value_loss           | 1.52        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 3.95e+03  |
|    ep_rew_mean          | 2.25e+03  |
| time/                   |           |
|    fps                  | 195       |
|    iterations           | 405       |
|    time_elapsed         | 16946     |
|    total_timesteps      | 3317760   |
| train/                  |           |
|    approx_kl            | 0.0118639 |
|    clip_fraction        | 0.104     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.614    |
|    explained_variance   | 0.506     |
|    learning_rate        | 1.69e-05  |
|    loss                 | 0.345     |
|    n_updates            | 4040      |
|    policy_gradient_loss | -0.0104   |
|    value_loss           | 1.61      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.98e+03    |
|    ep_rew_mean          | 2.25e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 406         |
|    time_elapsed         | 16988       |
|    total_timesteps      | 3325952     |
| train/                  |             |
|    approx_kl            | 0.013018139 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.616      |
|    explained_variance   | 0.592       |
|    learning_rate        | 1.68e-05    |
|    loss                 | 0.346       |
|    n_updates            | 4050        |
|    policy_gradient_loss | -0.0111     |
|    value_loss           | 1.6         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.99e+03     |
|    ep_rew_mean          | 2.25e+03     |
| time/                   |              |
|    fps                  | 195          |
|    iterations           | 407          |
|    time_elapsed         | 17028        |
|    total_timesteps      | 3334144      |
| train/                  |              |
|    approx_kl            | 0.0114269415 |
|    clip_fraction        | 0.107        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.604       |
|    explained_variance   | 0.58         |
|    learning_rate        | 1.67e-05     |
|    loss                 | 0.298        |
|    n_updates            | 4060         |
|    policy_gradient_loss | -0.0103      |
|    value_loss           | 1.48         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.03e+03    |
|    ep_rew_mean          | 2.29e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 408         |
|    time_elapsed         | 17068       |
|    total_timesteps      | 3342336     |
| train/                  |             |
|    approx_kl            | 0.014403541 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.623      |
|    explained_variance   | 0.49        |
|    learning_rate        | 1.67e-05    |
|    loss                 | 0.29        |
|    n_updates            | 4070        |
|    policy_gradient_loss | -0.0105     |
|    value_loss           | 1.44        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.06e+03    |
|    ep_rew_mean          | 2.31e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 409         |
|    time_elapsed         | 17107       |
|    total_timesteps      | 3350528     |
| train/                  |             |
|    approx_kl            | 0.012051571 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.623      |
|    explained_variance   | 0.518       |
|    learning_rate        | 1.66e-05    |
|    loss                 | 0.696       |
|    n_updates            | 4080        |
|    policy_gradient_loss | -0.00968    |
|    value_loss           | 1.74        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.13e+03    |
|    ep_rew_mean          | 2.36e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 410         |
|    time_elapsed         | 17147       |
|    total_timesteps      | 3358720     |
| train/                  |             |
|    approx_kl            | 0.011727384 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.641      |
|    explained_variance   | 0.483       |
|    learning_rate        | 1.65e-05    |
|    loss                 | 0.374       |
|    n_updates            | 4090        |
|    policy_gradient_loss | -0.0114     |
|    value_loss           | 1.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.06e+03    |
|    ep_rew_mean          | 2.33e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 411         |
|    time_elapsed         | 17188       |
|    total_timesteps      | 3366912     |
| train/                  |             |
|    approx_kl            | 0.011002881 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.61       |
|    explained_variance   | 0.579       |
|    learning_rate        | 1.64e-05    |
|    loss                 | 0.601       |
|    n_updates            | 4100        |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 1.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.06e+03    |
|    ep_rew_mean          | 2.34e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 412         |
|    time_elapsed         | 17228       |
|    total_timesteps      | 3375104     |
| train/                  |             |
|    approx_kl            | 0.010655969 |
|    clip_fraction        | 0.0975      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.613      |
|    explained_variance   | 0.525       |
|    learning_rate        | 1.63e-05    |
|    loss                 | 0.353       |
|    n_updates            | 4110        |
|    policy_gradient_loss | -0.011      |
|    value_loss           | 1.79        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.05e+03    |
|    ep_rew_mean          | 2.34e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 413         |
|    time_elapsed         | 17268       |
|    total_timesteps      | 3383296     |
| train/                  |             |
|    approx_kl            | 0.012876324 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.598      |
|    explained_variance   | 0.526       |
|    learning_rate        | 1.62e-05    |
|    loss                 | 0.473       |
|    n_updates            | 4120        |
|    policy_gradient_loss | -0.0108     |
|    value_loss           | 1.58        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.21e+03   |
|    ep_rew_mean          | 2.44e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 414        |
|    time_elapsed         | 17309      |
|    total_timesteps      | 3391488    |
| train/                  |            |
|    approx_kl            | 0.01075844 |
|    clip_fraction        | 0.102      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.586     |
|    explained_variance   | 0.549      |
|    learning_rate        | 1.62e-05   |
|    loss                 | 0.612      |
|    n_updates            | 4130       |
|    policy_gradient_loss | -0.0106    |
|    value_loss           | 1.39       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.22e+03     |
|    ep_rew_mean          | 2.45e+03     |
| time/                   |              |
|    fps                  | 195          |
|    iterations           | 415          |
|    time_elapsed         | 17349        |
|    total_timesteps      | 3399680      |
| train/                  |              |
|    approx_kl            | 0.0118641555 |
|    clip_fraction        | 0.111        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.589       |
|    explained_variance   | 0.512        |
|    learning_rate        | 1.61e-05     |
|    loss                 | 0.734        |
|    n_updates            | 4140         |
|    policy_gradient_loss | -0.0102      |
|    value_loss           | 1.5          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.22e+03   |
|    ep_rew_mean          | 2.47e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 416        |
|    time_elapsed         | 17389      |
|    total_timesteps      | 3407872    |
| train/                  |            |
|    approx_kl            | 0.01203154 |
|    clip_fraction        | 0.119      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.604     |
|    explained_variance   | 0.581      |
|    learning_rate        | 1.6e-05    |
|    loss                 | 0.612      |
|    n_updates            | 4150       |
|    policy_gradient_loss | -0.00964   |
|    value_loss           | 1.73       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.31e+03   |
